Name,Description,Severity,Message,Path,Start line,Start column,End line,End column
"Use of insufficient randomness as the key of a cryptographic algorithm","Using insufficient randomness as the key of a cryptographic algorithm can allow an attacker to compromise security.","error","This cryptographic algorithm depends on a [[""random number""|""relative:///core/test/crypto.go:19:7:19:36""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/chat/chat.go:121:7:121:52""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/echo/main.go:66:7:66:42""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/routed-echo/main.go:38:7:38:42""]] generated with a cryptographically weak RNG.","/core/crypto/ecdsa.go","53","40","53","42"
"Use of insufficient randomness as the key of a cryptographic algorithm","Using insufficient randomness as the key of a cryptographic algorithm can allow an attacker to compromise security.","error","This cryptographic algorithm depends on a [[""random number""|""relative:///core/test/crypto.go:19:7:19:36""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/chat/chat.go:121:7:121:52""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/echo/main.go:66:7:66:42""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/routed-echo/main.go:38:7:38:42""]] generated with a cryptographically weak RNG.","/core/crypto/ed25519.go","27","40","27","42"
"Use of insufficient randomness as the key of a cryptographic algorithm","Using insufficient randomness as the key of a cryptographic algorithm can allow an attacker to compromise security.","error","This cryptographic algorithm depends on a [[""random number""|""relative:///core/test/crypto.go:19:7:19:36""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/chat/chat.go:121:7:121:52""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/echo/main.go:66:7:66:42""]] generated with a cryptographically weak RNG.
This cryptographic algorithm depends on a [[""random number""|""relative:///examples/routed-echo/main.go:38:7:38:42""]] generated with a cryptographically weak RNG.","/core/crypto/rsa_go.go","36","31","36","33"
"Use of insufficient randomness as the key of a cryptographic algorithm","Using insufficient randomness as the key of a cryptographic algorithm can allow an attacker to compromise security.","error","This cryptographic algorithm depends on a [[""random number""|""relative:///p2p/protocol/ping/ping.go:134:8:134:68""]] generated with a cryptographically weak RNG.","/p2p/net/pnet/psk_conn.go","66","31","66","32"
